Dates,HIS(Eq),UKX(Eq),SPX(Eq),INDU(Eq),CL1(Cm),CO1(Cm),XAU(Cm),USGG10YR(B),GCAN10YR(B),USGG6M(B)
1990-01-01,2836.57,2422.7,353.4,2753.2,21.82,20.28,401.25,7.94,9.56,7.86
1990-01-02,2838.07,2434.1,359.69,2810.15,22.89,20.51,399,7.93,9.63,7.89
1990-01-03,2858.72,2463.7,358.76,2809.73,23.68,21.69,395,7.97,9.69,7.92
1990-01-04,2867.95,2451.6,355.67,2796.08,23.41,21.51,396.5,7.97,9.68,7.89
1990-01-05,2839.94,2444.5,352.2,2773.25,23.08,22,405,7.98,9.75,7.84
1990-01-08,2816.24,2431.3,353.79,2794.37,21.62,20.52,404.6,8.01,9.82,7.86
1990-01-09,2822.16,2436.3,349.62,2766,22.07,20.14,403.45,8.01,9.83,7.8
1990-01-10,2868,2412.7,347.31,2750.64,22.9,19.88,409.1,8.01,9.78,7.78
1990-01-11,2855.52,2417.9,348.53,2760.67,23.14,20.27,412.1,8.04,9.82,7.79
1990-01-12,2835.94,2380,339.93,2689.21,23.13,20.05,416.25,8.1,9.85,7.78
1990-01-15,2786.69,2366.2,337,2669.37,22.36,19.53,415.6,8.11,9.8,7.78
1990-01-16,2751.79,2349.1,340.75,2692.62,22.78,19.58,412.75,8.2,9.84,7.81
1990-01-17,2754.84,2373.9,337.4,2659.13,22.1,19.2,410.4,8.19,9.82,7.94
1990-01-18,2771.67,2336.9,338.19,2666.38,22.76,19.47,413.4,8.3,9.91,8.08
1990-01-19,2776.29,2335,339.15,2677.9,23.67,19.92,408.65,8.23,9.87,8.01
1990-01-22,2771.65,2297.1,330.38,2600.45,22.55,19.66,406,8.27,9.87,7.97
1990-01-23,2762.45,2291.1,331.61,2615.32,21.6,19.21,408.25,8.35,9.9,7.99
1990-01-24,2756.39,2278.6,330.26,2604.5,21.59,19.29,420.75,8.37,9.93,7.98
1990-01-25,2768.86,2289.9,326.08,2561.04,22.24,19.73,415.65,8.41,9.95,8.01
1990-01-26,2768.86,2314.5,325.8,2559.23,22.56,19.86,418,8.46,9.98,8.07
1990-01-29,2768.86,2328.8,325.2,2553.38,22.8,20.05,418.75,8.54,10.04,8.11
1990-01-30,2760.8,2322,322.98,2543.24,22.46,19.87,418.15,8.5,10.02,8.14
1990-01-31,2751.6,2337.3,329.08,2590.54,22.68,20.06,415.05,8.42,9.94,8.12
1990-02-01,2738.24,2345.8,328.79,2586.26,22.7,19.93,415.8,8.41,9.95,8.12
1990-02-02,2736.55,2355.1,330.92,2602.7,23.02,20.19,417.95,8.49,9.98,8.15
1990-02-05,2756.67,2348.4,331.85,2622.52,22.39,19.78,423,8.52,10.02,8.19
1990-02-06,2792.89,2321.1,329.66,2606.31,22.51,19.88,421.05,8.58,10.07,8.15
1990-02-07,2844.89,2307.4,333.75,2640.09,22.32,19.69,423.75,8.54,10.09,8.18
1990-02-08,2903.77,2331,332.96,2644.37,22.09,19.48,418,8.43,10.04,8.17
1990-02-09,2893.9,2313.6,333.62,2648.2,21.74,19.6,415.5,8.29,10.05,8.08
1990-02-12,2894.66,2285.9,330.08,2619.14,22.03,19.33,418.85,8.39,10.21,8.09
1990-02-13,2863.55,2293.2,331.02,2624.1,21.9,19.4,418.05,8.32,10.19,7.95
1990-02-14,2870.43,2298.3,332.01,2624.32,22.07,19.49,414.6,8.37,10.26,8
1990-02-15,2910.04,2313.8,334.89,2649.55,22.84,19.84,416.65,8.41,10.45,8.07
1990-02-16,2939.25,2325.9,332.72,2635.59,22.42,19.71,416.5,8.41,10.38,8.04
1990-02-19,2968,2297.1,332.72,2635.59,22.42,19.58,416.5,8.48,10.47,8.06
1990-02-20,2980.9,2277,327.99,2596.85,22.19,19.59,419.95,8.63,10.64,8.17
1990-02-21,2862.27,2259.7,327.67,2583.56,21.74,19.39,420,8.6,10.53,8.16
1990-02-22,2927.92,2269.2,325.7,2574.77,21.75,19.3,417.65,8.54,10.5,8.13
1990-02-23,2894.31,2236.7,324.15,2564.19,21.42,19.19,415.85,8.54,10.5,8.09
1990-02-26,2872.63,2249.3,328.67,2602.48,21.79,19.58,411.3,8.46,10.5,8.05
1990-02-27,2932.62,2254.8,330.26,2617.12,21.58,19.41,407.55,8.41,10.56,8.1
1990-02-28,2951.98,2255.4,331.89,2627.25,21.54,19.48,407.7,8.52,10.64,8.14
1990-03-01,2933.13,2238.4,332.74,2635.59,21.17,19.24,406.3,8.58,10.67,8.18
1990-03-02,2937.93,2254.8,335.54,2660.36,21.35,19.28,405.05,8.55,10.64,8.19
1990-03-05,2938.68,2230.5,333.74,2649.55,21.58,19.43,403.2,8.63,10.71,8.25
1990-03-06,2933.23,2216,337.93,2676.8,19.33,19.33,405.35,8.56,10.69,8.22
1990-03-07,2926.45,2230.3,336.95,2669.59,20.93,19.13,400.5,8.58,10.79,8.22
1990-03-08,2915.73,2249.9,340.27,2696.17,20.78,18.86,400.7,8.55,10.72,8.23
1990-03-09,2912.67,2234.3,337.93,2683.33,20.43,18.88,399.3,8.63,10.8,8.3
1990-03-12,2892.98,2222.4,338.67,2686.71,20.24,18.62,401.25,8.63,10.91,8.3
1990-03-13,2887.62,2224.5,336,2674.55,20.22,18.6,397.25,8.71,11,8.33
1990-03-14,2881.23,2226.1,336.87,2687.84,20.05,18.52,398.75,8.63,10.91,8.29
1990-03-15,2892.81,2234.9,338.07,2695.72,20.38,18.74,399.5,8.65,10.92,8.31
1990-03-16,2886.46,2263.9,341.91,2741.22,20.07,18.56,400.65,8.57,10.88,8.26
1990-03-19,2871.39,2238,343.53,2755.63,19.6,18.2,402.1,8.58,10.89,8.34
1990-03-20,2880.03,2259.7,341.57,2738.74,19.28,18.05,399.65,8.53,10.72,8.34
1990-03-21,2926.92,2250.3,339.74,2727.93,19.96,18.17,392,8.56,10.78,8.35
1990-03-22,2948.67,2258.9,335.69,2695.72,20,18.16,392,8.53,10.76,8.26
1990-03-23,2974.16,2283.9,337.22,2704.28,20.39,18.4,393.5,8.52,10.75,8.25
1990-03-26,3014.02,2298.2,337.63,2707.66,20.46,18.46,370.25,8.5,10.74,8.26
1990-03-27,3010.85,2266.3,341.5,2736.94,20.48,18.46,368,8.51,10.83,8.29
1990-03-28,2990.7,2274,342,2743.69,20.08,18.32,372,8.5,10.89,8.24
1990-03-29,3000.52,2263,340.79,2727.7,20.05,18.33,371.5,8.61,11.08,8.26
1990-03-30,2997.98,2247.9,339.94,2707.21,20.28,18.38,368.5,8.63,11.14,8.22
1990-04-02,2934.7,2221.6,338.7,2700.45,20.48,18.62,368.4,8.64,11.19,8.22
1990-04-03,2962.45,2240.7,343.64,2736.71,20.3,18.48,375,8.63,11.16,8.25
1990-04-04,2960.88,2231.6,341.09,2719.37,19.78,18.09,374.25,8.55,11.17,8.15
1990-04-05,2960.88,2239.5,340.73,2721.17,19.43,17.65,378.4,8.56,11.29,8.17
1990-04-06,2956.12,2221.1,340.08,2717.12,19.15,17.43,377.7,8.55,11.44,8.15
1990-04-09,2954.74,2227.7,341.37,2722.07,18.44,16.79,376.7,8.59,11.54,8.21
1990-04-10,2942.33,2217.5,342.07,2731.08,17.68,16.35,375.2,8.62,11.59,8.22
