Dates,CAC(Eq),SENSEX(Eq),SPTSX(Eq),DAX(Eq),SPGSCITR(Cm),XPTUSD(Cm),LMCADS03(Cm),USGG12M(B),GNZGB10(B),GDBR10(B)
1990-01-01,2001.08,783.35,3969.8,1790.37,1891.64,504,2400.3,7.82,12.52,7.29
1990-01-02,1988.85,780.01,4004.4,1814.38,1937.46,504,2356.4,7.79,12.52,7.48
1990-01-03,1979.89,763.22,4009.5,1869.66,1970.27,504,2395.5,7.83,12.52,7.51
1990-01-04,2006.42,760.8,4001,1835.88,1938.69,475,2482.9,7.81,12.5,7.43
1990-01-05,1994.36,774.58,3990.4,1820,1897.99,475,2474.8,7.8,12.45,7.5
1990-01-08,1968.95,778.33,3971.1,1843.24,1844.73,492,2476.2,7.79,12.47,7.51
1990-01-09,1970.28,774.5,3952.4,1865.94,1864.97,492,2503.6,7.77,12.47,7.5
1990-01-10,1970.38,782.48,3941.6,1839.63,1902.96,492,2464.2,7.75,12.35,7.48
1990-01-11,1992.89,780.34,3941.8,1855.83,1922.69,492,2456.6,7.76,12.27,7.46
1990-01-12,1968.65,780.34,3881.9,1855.66,1914.22,492,2445.1,7.75,12.28,7.46
1990-01-15,1962.89,763.55,3894.1,1841.61,1888.59,500,2368.7,7.75,12.28,7.5
1990-01-16,1935.21,755.58,3900,1788.68,1886.68,500,2344.8,7.93,12.28,7.62
1990-01-17,1953.14,745.19,3872.3,1802.48,1866.37,500,2362.9,7.88,12.3,7.6
1990-01-18,1934.72,738.58,3857.4,1779.17,1876.27,497,2355.6,8.05,12.31,7.68
1990-01-19,1925.95,710.75,3865.1,1773.56,1892.34,497,2291.4,7.99,12.16,7.72
1990-01-22,1915.82,706.85,3801.6,1779.3,1876.73,495,2270.1,7.99,11.97,7.73
1990-01-23,1912.36,722.01,3812.7,1801.52,1864.44,495,2190.2,8,11.92,7.73
1990-01-24,1881.73,718.95,3761.5,1756.41,1860.79,495,2195.6,8.01,12.08,7.74
1990-01-25,1893.23,716.23,3749.4,1787.59,1879.88,498,2242.7,8.04,12.15,7.72
1990-01-26,1886.75,716.23,3733.8,1794.14,1886.6,498,2198.4,8.05,12.14,7.71
1990-01-29,1904.71,716.23,3722.6,1811.55,1899.1,507,2243.4,8.11,12.13,7.65
1990-01-30,1892.03,701.08,3707.1,1812.9,1884.7,507,2189.5,8.08,12.15,7.65
1990-01-31,1882.88,683.32,3704.5,1822.78,1883.36,507,2180.7,8.08,12.2,7.65
1990-02-01,1895.53,692.41,3709.1,1858.08,1880.8,513,2235.3,8.1,12.17,7.7
1990-02-02,1924.7,684.48,3719.6,1910.67,1904.2,513,2236.4,8.12,12.17,7.73
1990-02-05,1926.14,684.48,3767.3,1939.43,1880.5,510,2250,8.13,12.13,7.81
1990-02-06,1916.33,674.26,3769.1,1937.72,1879.97,510,2222.9,8.14,12.13,7.94
1990-02-07,1895.24,674.47,3779.3,1900.1,1877.3,510,2231.5,8.16,12,8.16
1990-02-08,1905.51,659.3,3783.4,1915.79,1871.19,511,2245,8.1,12.02,8.28
1990-02-09,1898.25,659.3,3777.8,1885.89,1860.54,511,2285,8.02,12.06,8.38
1990-02-12,1867.4,673.27,3766.3,1860.39,1879.71,508,2288.2,8.04,12.11,8.58
1990-02-13,1845.43,673.26,3751.9,1840.98,1881.24,508,2228.5,7.9,12.04,8.5
1990-02-14,1853.99,679.69,3750.4,1832.23,1890.18,508,2279.7,8.05,12.08,8.47
1990-02-15,1856.86,690.07,3732.8,1850.96,1908.52,517,2306.7,8.09,12.08,8.54
1990-02-16,1871.12,689.98,3731.7,1893.66,1896.44,517,2369.2,8.09,12.08,8.64
1990-02-19,1838.03,679.53,3733.8,1869.19,1896.44,519,2391.6,8.09,12.07,8.93
1990-02-20,1820.16,674.47,3692.3,1823.81,1893.34,519,2407.3,8.23,12.08,8.99
1990-02-21,1803.79,679.57,3672.5,1807.19,1882.61,519,2379.2,8.21,12.08,8.74
1990-02-22,1836.91,679.97,3668.7,1820.15,1892.75,531,2443.1,8.13,12.1,8.73
1990-02-23,1803.62,679.97,3652.6,1789.64,1888.13,531,2405.5,8.1,12.13,8.74
1990-02-26,1804.1,680.58,3649.5,1776.04,1901.41,522,2380.6,8.08,12.15,8.7
1990-02-27,1825.38,680.58,3660.3,1804.32,1883.93,522,2395.8,8.05,12.2,8.63
1990-02-28,1849.68,676.23,3686.8,1809.92,1877.21,522,2399.4,8.11,12.18,8.63
1990-03-01,1832.44,692.59,3700.2,1787.87,1848.15,509,2417,8.22,12.05,8.96
1990-03-02,1860.48,691.61,3707.5,1818.23,1865.94,509,2418.2,8.24,12.04,8.98
1990-03-05,1874.43,685.88,3712,1833.16,1898.11,508,2474.4,8.31,12.04,8.96
1990-03-06,1872.3,678.7,3723.2,1822.22,1883.69,508,2536.6,8.26,12.04,9.02
1990-03-07,1880.57,678.38,3728.7,1844.72,1872.18,508,2511.9,8.27,12.03,8.98
1990-03-08,1917.99,670.38,3752.1,1860.92,1871.94,509,2498.6,8.34,12.06,8.9
1990-03-09,1921.11,673.94,3733,1858.74,1851.96,509,2547.6,8.46,12.16,8.93
1990-03-12,1912.59,673.94,3740.3,1846.08,1844.57,505,2518.7,8.41,12.16,8.92
1990-03-13,1924.3,688.08,3734.1,1867.48,1842.73,505,2518.5,8.46,12.17,8.9
1990-03-14,1946.37,683.47,3734.7,1862.84,1846.9,505,2516.1,8.39,12.2,8.72
1990-03-15,1964.47,683.47,3757.4,1879.32,1874.29,499,2587.3,8.4,12.25,8.71
1990-03-16,1958.82,686.29,3760.8,1889.69,1861.58,499,2612.2,8.34,12.25,8.66
1990-03-19,1936.96,711.04,3772.2,1906.77,1856.51,502,2596.5,8.38,12.25,8.81
1990-03-20,1925.39,726.31,3744.7,1908.83,1850.61,502,2555.9,8.36,12.22,8.72
1990-03-21,1937.18,721.69,3735.9,1937.99,1860.95,502,2562,8.4,12.3,8.65
1990-03-22,1914.11,739.22,3705,1918.98,1860,489,2601,8.3,12.35,8.55
1990-03-23,1937.4,757.76,3701.5,1932.12,1878.53,489,2519.5,8.28,12.35,8.61
1990-03-26,1964.16,761.33,3667.5,1939.53,1878.09,495,2501.1,8.29,12.35,8.49
1990-03-27,1945.96,761.33,3678.5,1924.98,1877.62,495,2528.4,8.35,12.34,8.53
1990-03-28,1939.33,770.3,3677.4,1928.6,1874.8,495,2454.3,8.31,12.34,8.55
1990-03-29,1947.23,767.74,3665.9,1953.89,1879.93,479,2543.5,8.48,12.33,8.52
1990-03-30,1971.79,781.05,3639.6,1968.55,1890.95,479,2558.2,8.33,12.3,8.41
1990-04-02,1947.18,782.97,3612.3,1931.3,1909.22,475,2658.6,8.31,12.35,8.39
1990-04-03,1985.55,782.97,3648.2,1968.33,1911.67,475,2615.4,8.29,12.38,8.42
1990-04-04,2001.49,805.86,3635,1963.25,1892.75,475,2625.6,8.24,12.4,8.44
1990-04-05,2028.06,794.44,3630.7,1958.39,1878.18,477,2556.5,8.27,12.37,8.45
1990-04-06,2069.89,770.74,3632.4,1947.84,1870.85,477,2554.2,8.27,12.37,8.55
1990-04-09,2083.9,769.97,3613.7,1923.86,1850.32,480,2567.4,8.29,12.39,8.65
1990-04-10,2075.38,781.17,3594.9,1898.51,1828.99,480,2531.4,8.29,12.39,8.69
1990-04-11,2103.1,781.17,3565.8,1893.77,1846.28,480,2522,8.25,12.36,8.65
1990-04-12,2116.66,748.79,3561.2,1918.17,1833.82,476,2569.7,8.28,12.38,8.65
1990-04-13,2116.66,748.79,3561.2,1918.17,1833.82,476,2569.7,8.27,12.38,8.65
1990-04-16,2116.66,748.79,3549.3,1918.17,1847.25,476,2569.7,8.28,12.38,8.65
1990-04-17,2126.34,755.58,3513.4,1914.35,1842.02,476,2524.5,8.36,12.34,8.7
1990-04-18,2098.68,773.76,3476.5,1889.76,1829.41,476,2500,8.46,12.37,8.68
1990-04-19,2097.12,759.15,3410.7,1878.87,1864.55,478,2461.7,8.44,12.36,8.72
1990-04-20,2129.32,787.36,3355.7,1884.33,1863.38,478,2456.1,8.42,12.36,8.72
1990-04-23,2089.77,792.57,3344.1,1837.5,1881.92,482,2459.7,8.51,12.35,8.79
1990-04-24,2101.4,791.79,3341,1830.53,1877.32,482,2440.9,8.52,12.38,8.83
1990-04-25,2091.57,793.58,3343.2,1843.31,1865.45,482,2497.5,8.54,12.38,8.81
1990-04-26,2072.16,793.58,3369.5,1827.07,1863.18,483,2506.1,8.63,12.44,8.79
1990-04-27,2066.27,793.58,3336.1,1825.52,1868.67,483,2485.6,8.51,12.46,8.81
1990-04-30,2046.46,795.13,3341,1813.25,1871.12,473,2439.2,8.54,12.46,8.81
1990-05-01,2046.46,795.13,3334.2,1813.25,1893.11,473,2465.6,8.57,12.45,8.81
1990-05-02,2066.03,786.21,3340.4,1843.41,1890.64,473,2496.4,8.61,12.45,8.86
1990-05-03,2098.95,779.22,3346.7,1881.79,1863.17,478,2523.2,8.55,12.42,8.82
1990-05-04,2102.64,776.11,3367.9,1912.89,1867.01,478,2510.1,8.43,12.46,8.52
