,Ward,Traditional,Single
2005,-0.134944231,0.039918897,0.025914114
2006,0.85123639,0.495290666,0.562189767
2007,1.72103812,1.669359294,1.31488616
2008,1.417868377,1.489675281,0.995577802
2009,-0.315587061,-0.03317707,-0.422879477
2010,0.031734,0.162269286,0.026225314
2011,-0.353473499,0.155580848,-0.475975557
2012,-0.429393602,-0.002964255,-0.446329835
2013,0.818065419,0.837199953,0.411356948
2014,0.361246345,0.435941693,0.363872701
2015,-0.049225512,-0.119289202,-0.347364816
2016,-0.178300839,-0.400442523,-0.550963408
2017,-0.137991297,-0.203159539,-0.272436224
2018,0.39083231,0.164684325,0.009166604
2019,0.345922266,0.214874149,0.09526801
